;0;1;2;3;4;5;6
1;6;-2;4;0;11;3;4
2;5;-2;4;-1;10;0;4
3;3;-5;2;-4;6;-6;1
4;0;-11;-5;-7;0;-7;-2
5;-6;-15;-11;-9;-7;-7;-10
6;-12;-16;-6;-7;-10;-7;-10
7;-8;-15;-13;-3;-11;-9;-10
8;-9;-12;-12;-2;-11;-8;-7
9;-1;-11;-1;5;-9;-2;2
10;2;-4;-4;14;-2;1;3
11;11;3;5;14;7;1;3
12;11;2;15;14;64;10;3
13;7;11;9;45;62;27;9
14;14;16;18;59;143;78;133
15;15;9;17;26;41;78;133
16;21;35;9;50;-11;124;312
17;21;8;22;26;62;52;143
18;17;19;11;29;0;57;-93
19;14;21;17;52;62;64;135
20;14;-3;19;34;96;117;181
21;14;11;16;52;34;249;418
22;30;11;19;52;133;117;418
23;27;10;34;65;45;120;257
24;20;26;61;65;-29;37;50
25;24;9;61;65;62;-9;50
26;18;7;72;61;-1;37;88
27;28;29;51;61;13;141;261
28;28;29;52;74;74;100;261
29;28;42;48;85;13;231;207
30;40;42;28;85;74;271;215
31;29;44;60;105;135;274;197
32;27;36;39;95;73;294;185
33;29;36;39;76;165;240;217
34;27;36;64;86;97;240;366
35;27;27;33;76;20;319;351
